1024 1024
(x=88, y=199); kind: producer;
(x=407, y=965); kind: conductor;
(x=34, y=475); kind: conductor;
(x=407, y=751); kind: conductor;
(x=407, y=821); kind: conductor;
(x=125, y=475); kind: conductor;
(x=362, y=475); kind: conductor;
(x=175, y=475); kind: conductor;
(x=272, y=475); kind: conductor;
(x=407, y=776); kind: conductor;
(x=407, y=840); kind: conductor;
(x=407, y=800); kind: conductor;
(x=87, y=475); kind: conductor;
(x=407, y=860); kind: conductor;
(x=348, y=475); kind: conductor;
(x=407, y=933); kind: conductor;
(x=44, y=475); kind: conductor;
(x=407, y=784); kind: conductor;
(x=407, y=973); kind: conductor;
(x=407, y=998); kind: conductor;
(x=407, y=789); kind: conductor;
(x=268, y=475); kind: conductor;
(x=37, y=475); kind: conductor;
(x=407, y=975); kind: conductor;
(x=228, y=475); kind: conductor;
(x=407, y=785); kind: conductor;
(x=407, y=814); kind: conductor;
(x=407, y=828); kind: conductor;
(x=407, y=877); kind: conductor;
(x=342, y=475); kind: conductor;
(x=121, y=475); kind: conductor;
(x=407, y=947); kind: conductor;
(x=407, y=1003); kind: conductor;
(x=407, y=994); kind: conductor;
(x=407, y=715); kind: conductor;
(x=407, y=795); kind: conductor;
(x=290, y=475); kind: conductor;
(x=184, y=475); kind: conductor;
(x=116, y=475); kind: conductor;
(x=170, y=475); kind: conductor;
(x=407, y=936); kind: conductor;
(x=407, y=648); kind: conductor;
(x=120, y=747); kind: producer;
(x=206, y=475); kind: conductor;
(x=198, y=475); kind: conductor;
(x=286, y=475); kind: conductor;
(x=335, y=475); kind: conductor;
(x=79, y=475); kind: conductor;
(x=407, y=642); kind: conductor;
(x=306, y=475); kind: conductor;
(x=132, y=475); kind: conductor;
(x=70, y=475); kind: conductor;
(x=256, y=475); kind: conductor;
(x=176, y=475); kind: conductor;
(x=357, y=475); kind: conductor;
(x=407, y=835); kind: conductor;
(x=407, y=701); kind: conductor;
(x=407, y=802); kind: conductor;
(x=407, y=951); kind: conductor;
(x=162, y=475); kind: conductor;
(x=407, y=963); kind: conductor;
(x=407, y=645); kind: conductor;
(x=292, y=475); kind: conductor;
(x=407, y=668); kind: conductor;
(x=407, y=655); kind: conductor;
(x=45, y=475); kind: conductor;
(x=222, y=475); kind: conductor;
(x=407, y=792); kind: conductor;
(x=187, y=738); kind: producer;
(x=407, y=651); kind: conductor;
(x=407, y=846); kind: conductor;
(x=220, y=475); kind: conductor;
(x=277, y=475); kind: conductor;
(x=192, y=475); kind: conductor;
(x=138, y=475); kind: conductor;
(x=216, y=475); kind: conductor;
(x=327, y=475); kind: conductor;
(x=325, y=475); kind: conductor;
(x=407, y=746); kind: conductor;
(x=202, y=475); kind: conductor;
(x=407, y=808); kind: conductor;
(x=407, y=811); kind: conductor;
(x=368, y=475); kind: conductor;
(x=407, y=752); kind: conductor;
(x=407, y=804); kind: conductor;
(x=407, y=656); kind: conductor;
(x=154, y=475); kind: conductor;
(x=111, y=475); kind: conductor;
(x=105, y=475); kind: conductor;
(x=407, y=927); kind: conductor;
(x=52, y=475); kind: conductor;
(x=407, y=970); kind: conductor;
(x=2, y=472); kind: bud;
(x=124, y=475); kind: conductor;
(x=407, y=865); kind: conductor;
(x=407, y=1015); kind: conductor;
(x=407, y=733); kind: conductor;
(x=407, y=883); kind: conductor;
(x=169, y=475); kind: conductor;
(x=407, y=747); kind: conductor;
(x=237, y=475); kind: conductor;
(x=234, y=475); kind: conductor;
(x=407, y=791); kind: conductor;
(x=177, y=475); kind: conductor;
(x=407, y=956); kind: conductor;
(x=39, y=475); kind: conductor;
